id,artist_name,image_path
0,MALICE MIZER,
1,Diary of Dreams,
2,Carpathian Forest,
3,Moi dix Mois,
4,Bella Morte,
5,Moonspell,
6,Marilyn Manson,
7,DIR EN GREY,
8,Combichrist,
9,Grendel,
10,Agonoize,
11,Behemoth,
12,Hocico,
13,Dimmu Borgir,
14,London After Midnight,
15,Psyclon Nine,
16,The Crüxshadows,
17,:wumpscut:,
18,Limbonic Art,
19,Artista sconosciuto,
20,xotox,
21,The Kovenant,
22,Feindflug,
23,Cradle of Filth,
24,Tamtrum,
25,Laibach,
26,Gorgoroth,
27,And One,
28,Amduscia,
29,Covenant,
30,Icon of Coil,
31,KMFDM,
32,Funker Vogt,
33,Dawn of Ashes,
34,Sopor Aeternus & The Ensemble of Shadows,
35,The Faint,
36,God Module,
37,Noisuf-X,
38,Das Ich,
39,Mindless Self Indulgence,
40,Pyotr Ilyich Tchaikovsky,
41,Emperor,
42,Anorexia Nervosa,
43,Reaper,
44,Gothminister,
45,Duran Duran,
46,Morcheeba,
47,Air,
48,Hooverphonic,
49,Kylie Minogue,
50,Daft Punk,
51,Thievery Corporation,
52,Goldfrapp,
53,New Order,
54,Matt Bianco,
55,Talk Talk,
56,Prefab Sprout,
57,Enigma,
58,Röyksopp,
59,Coldplay,
60,Faithless,
61,Madonna,
62,Icehouse,
63,Sade,
64,Moby,
65,Dido,
66,Depeche Mode,
67,Café Del Mar,
68,Basia,
69,Camouflage,
70,Electronic,
71,George Michael,
72,The Adventures,
73,Fiction Factory,
74,Groove Armada,
75,Portishead,
76,Marc Almond,
77,Cock Robin,
78,Cut Copy,
79,Spandau Ballet,
80,Katie Melua,
81,Deacon Blue,
82,Gorillaz,
83,Lady Gaga,
84,Kosheen,
85,Nik Kershaw,
86,Vitamin Z,
87,Jean-Michel Jarre,
88,Ministry of Sound,
89,Simply Red,
90,Fleetwood Mac,
91,Duffy,
92,Japan,
93,INXS,
94,ABC,
95,Pleq,
96,Segue,
97,Max Richter,
98,Celer,
99,Pjusk,
100,Pleq & Segue,
101,Burial,
102,Magnitophono,
103,andy graydon,
104,ddekombinacja,
105,Pleq & Anna Rose Carter,
106,Go Koyashiki,
107,Dustin O'Halloran,
108,offthesky,
109,Nebulo,
110,Fjordne,
111,Pleq & Chihiro,
112,Spyweirdos,
113,billy gomberg + offthesky,
114,Deru,
115,Lukid,
116,Manekinekod,
117,Danny Norbury,
118,Shinkei & Mise En Scene,
119,aslope,
120,The Notwist,
121,Off the Sky,
122,strom noir,
123,Aless,
124,Philippe Lamy,
125,Part Timer,
126,Deaf Center,
127,Lauki,
128,Big Brotherz,
129,cokiyu,
130,Verbose,
131,Worm Is Green,
132,Library Tapes,
133,Richard Skelton,
134,Matryoshka,
135,Aidan Baker,
136,Ylid,
137,Daisuke Miyatani,
138,Dakota Suite,
139,Ryonkt,
140,Hird,
141,Svarte Greiner,
142,The Boats,
143,The Sound Of Lucrecia,
144,Porzellan,
145,Deep Forest,
146,Porcupine Tree,
147,De/Vision,
148,Radiohead,
149,Robbie Williams,
150,VAST,
151,Michael Jackson,
152,עברי לידר,
153,The Cure,
154,אביב גפן,
155,Enrique Iglesias,
156,God Is an Astronaut,
157,Pink Floyd,
158,יוני בלוך,
159,Planet Funk,
160,The Cranberries,
161,Scissor Sisters,
162,דניאל סלומון,
163,אביתר בנאי,
164,Mew,
165,Stereophonics,
166,Garbage,
167,Placebo,
168,Infected Mushroom,
169,Delerium,
170,Scorpions,
171,Rock Star Supernova,
172,Dolores O'Riordan,
173,Tommy Lee,
174,Roxette,
175,Paradise Lost,
176,Keane,
177,Jamiroquai,
178,James Blunt,
179,Reamonn,
180,Blackfield,
181,a-ha,
182,Opeth,
183,Poets of the Fall,
184,Muse,
185,OneRepublic,
186,Elton John,
187,Tears for Fears,
188,The Tiger Lillies,
189,Bright Eyes,
190,Beirut,
191,Tom Waits,
192,System of a Down,
193,Arcade Fire,
194,Gogol Bordello,
195,Ленинград,
196,CAKE,
197,Blur,
198,Damien Rice,
199,Andrew Bird,
200,Beck,
201,Arctic Monkeys,
202,Babyshambles,
203,My Chemical Romance,
204,Bloc Party,
205,The Decemberists,
206,Bob Dylan,
207,Jacques Brel,
208,DeVotchKa,
209,Jeff Buckley,
210,Sparklehorse,
211,Death Cab for Cutie,
212,Man Man,
213,M. Ward,
214,Red Hot Chili Peppers,
215,Travis,
216,Modest Mouse,
217,Band of Horses,
218,Yeong-wook Jo,
219,Interpol,
220,Queens of the Stone Age,
221,The Beatles,
222,Kings of Leon,
223,The Killers,
224,Green Day,
225,Devendra Banhart,
226,Sunset Rubdown,
227,Nine Inch Nails,
228,Nirvana,
229,Eels,
230,Clap Your Hands Say Yeah,
231,Thom Yorke,
232,Massive Attack,
233,Keyshia Cole,
234,Racionais MC's,
235,Toni Braxton,
236,Elo da Corrente,
237,Teta Lando,
238,Flagelo Urbano,
239,Bob Marley & The Wailers,
240,Adriana Calcanhotto,
241,Maxwell,
242,Pharoahe Monch,
243,Common,
244,Bob Marley,
245,Whitney Houston,
246,Tamia,
247,Bryan Adams,
248,Lokua Kanza,
249,Nach,
250,Kid Abelha,
251,Mariah Carey,
252,Tina Turner,
253,9th Wonder,
254,Floetry,
255,Marisa Monte,
256,Mary J. Blige,
257,Jill Scott,
258,Sara Tavares,
259,Céline Dion,
260,Erykah Badu,
261,Nas,
262,Richard Marx,
263,Dru Hill,
264,Maria Bethânia,
265,Mos Def,
266,Faith Evans,
267,Avant,
268,Bob da Rage Sense,
269,Angie Stone,
270,Gang Starr,
271,Papa Wemba,
272,2Pac,
273,Brandy,
274,Sam the Kid,
275,Dealema,
276,Boss AC,
277,Ana Carolina,
278,Dilated Peoples,
279,Janet Jackson,
280,Peter Tosh,
281,Monica,
282,Rihanna,
283,Britney Spears,
284,Jordin Sparks,
285,Kelly Clarkson,
286,Christina Aguilera,
287,Ashlee Simpson,
288,Leona Lewis,
289,Beyoncé,
290,Sugababes,
291,David Cook,
292,Lily Allen,
293,Jennifer Lopez,
294,Katy Perry,
295,Alicia Keys,
296,P!nk,
297,Panic at the Disco,
298,David Archuleta,
299,Katharine McPhee,
300,Black Eyed Peas,
301,Kate Voegele,
302,Kat DeLuna,
303,Danity Kane,
304,Nelly Furtado,
305,Natasha Bedingfield,
306,Cassie,
307,Allison Iraheta,
308,Ciara,
309,Matt Pokora,
310,Alanis Morissette,
311,Keri Hilson,
312,Hilary Duff,
313,Haley James Scott,
314,Fergie,
315,Jonas Brothers,
316,Ashanti,
317,The Saturdays,
318,Cobra Starship,
319,Ashley Tisdale,
320,JoJo,
321,Chris Brown,
322,David Guetta,
323,Justin Timberlake,
324,T.I.,
325,Kanye West,
326,Kelly Rowland,
327,Avril Lavigne,
328,No Angels,
329,Sandy,
330,Vanessa Petruo,
331,Alexander,
332,Queensberry,
333,Fady Maalouf,
334,Cher,
335,Barbara Schöneberger,
336,Colbie Caillat,
337,Annett Louisan,
338,Taylor Swift,
339,Nadja Benaissa,
340,Lena,
341,Cassandra Steen,
342,Wir sind Helden,
343,The Pussycat Dolls,
344,Monrose,
345,Gabrielle,
346,Cheryl Cole,
347,Milow,
348,Sarah Connor,
349,Jason Mraz,
350,Brad Paisley,
351,Silbermond,
352,Diyana,
353,Maria Mena,
354,Shania Twain,
355,Jennifer Chung,
356,A Fine Frenzy,
357,Lucylicious,
358,Sugarland,
359,Christina Stürmer,
360,Jack Johnson,
361,BIG BANG,
362,김종국,
363,2PM,
364,Katatonia,
365,Skillet,
366,モンゴル800,
367,Jay Park,
368,宇多田ヒカル,
369,浜崎あゆみ,
370,UVERworld,
371,Linkin Park,
372,Evanescence,
373,中島美嘉,
374,Blackmore's Night,
375,C.N.BLUE,
376,BUCK-TICK,
377,Bad Religion,
378,Fairuz,
379,T.M.Revolution,
380,Cascada,
381,TRAX,
382,B2ST,
383,Enya,
384,GACKT,
385,Sinamore,
386,Remi Bandali,
387,Super Junior,
388,山下智久,
389,NEWS,
390,L'Arc~en~Ciel,
391,雅-MIYAVI-,
392,www.DjFahad.com,
393,嵐,
394,2NE1,
395,RENTRER EN SOI,
396,3mmey,
397,The All-American Rejects,
398,백지영,
399,The Rasmus,
400,HYDE,
401,Akira Yamaoka,
402,Crossfade,
403,G-Dragon,
404,GD&TOP,
405,Chinese mix,
406,blink-182,
407,After School,
408,Wasted Land,
409,Laith Al-Deen,
410,The National,
411,Cordel do Fogo Encantado,
412,Sigur Rós,
413,Tokyo Police Club,
414,The Kills,
415,Móveis Coloniais de Acaju,
416,Mombojó,
417,Bat for Lashes,
418,The Strokes,
419,Yeah Yeah Yeahs,
420,Rilo Kiley,
421,The Cribs,
422,The Libertines,
423,The Smiths,
424,Kate Nash,
425,Wolf Parade,
426,Klaxons,
427,Broken Social Scene,
428,Spoon,
429,Black Lips,
430,The Smashing Pumpkins,
431,She & Him,
432,O Teatro Mágico,
433,Los Hermanos,
434,Animal Collective,
435,Joy Division,
436,The Tallest Man on Earth,
437,The Rakes,
438,múm,
439,Bon Iver,
440,Ra Ra Riot,
441,Manu Chao,
442,Art Brut,
443,Poney Express,
444,She Wants Revenge,
445,Local Natives,
446,Mundo Livre S/A,
447,Silverchair,
448,Jónsi,
449,Backstreet Boys,
450,Jesse McCartney,
451,Aaron Carter,
452,Justin Bieber,
453,*NSYNC,
454,Noize MC,
455,Miley Cyrus,
456,Blue,
457,Savage Garden,
458,3OH!3,
459,Jessica Simpson,
460,Ke$ha,
461,Darren Hayes,
462,Usher,
463,Nick Carter,
464,nevershoutnever!,
465,Metro Station,
466,3 Doors Down,
467,Dream Street,
468,Craig David,
469,Eminem,
470,M. Pokora,
471,Daniel Merriweather,
472,ВИА Гра,
473,Westlife,
474,Guf,
475,Simple Plan,
476,Jeremih,
477,Centr,
478,Ne-Yo,
479,Kelis,
480,30 Seconds to Mars,
481,The Birthday Massacre,
482,Three Days Grace,
483,Limp Bizkit,
484,Seether,
485,Fort Minor,
486,Funeral for a Friend,
487,Lostprophets,
488,Finch,
489,This Beautiful Republic,
490,Cold,
491,Papa Roach,
492,Paramore,
493,Flyleaf,
494,Bullet for My Valentine,
495,Angels & Airwaves,
496,LaFee,
497,In Flames,
498,HIM,
499,Digital Summer,
500,Anathema,
501,Saosin,
502,Tracktor Bowling,
503,Pitchshifter,
504,P.O.D.,
505,U2,
506,Deftones,
507,Traff!c,
508,Ill Niño,
509,Clan of Xymox,
510,Celldweller,
511,Korn,
512,Within Temptation,
513,Static-X,
514,Fluke,
515,happysad,
516,Lacrimosa,
517,Lindsay Lohan,
518,Jeffree Star,
519,Gwen Stefani,
520,La Roux,
521,Lil' Wayne,
522,Pixie Lott,
523,Paul van Dyk,
524,Alphabeat,
525,Taio Cruz,
526,Little Boots,
527,Oasis,
528,No Doubt,
529,Sophie Ellis-Bextor,
530,Good Charlotte,
531,The Used,
532,Maroon 5,
533,Gossip,
534,Fall Out Boy,
535,Space Cowboy,
536,Pitty,
537,Nicole Scherzinger,
538,Adam Lambert,
539,Flo Rida,
540,The Ting Tings,
541,Kid Cudi,
542,Ellie Goulding,
543,The Sonics,
544,The Fleshtones,
545,The Satelliters,
546,The Barracudas,
547,The Staggers,
548,The Kinks,
549,The Swingin' Neckbreakers,
550,The Strollers,
551,The Fuzztones,
552,The Maharajas,
553,Southern Culture on the Skids,
554,The Woggles,
555,The Untamed Youth,
556,The Who,
557,Small Faces,
558,Mahalia Jackson,
559,Howlin' Wolf,
560,Jackie Wilson,
